category,year,1,2,3,4,5,6,7,8,9,10,11,12,_BATCH_ROW_NUM_,_BATCH_FILE_NAME_,_BATCH_FILE_ID_,_BATCH_ID_,_BATCH_LAST_RUN_
プロタイムズ事業部,2025,6668000,6705000,6700000,6858000,6895000,7010000,6640000,6640000,6660000,6660000,6660000,5620000,1,目標金額.xlsx,01JMGB6ZMZ6C5OTQB77NG3MPFQTQHYRHLD,3.0,2025-11-28 14:30:09
法人営業部,2025,350000,350000,,,,,,,,,,,2,目標金額.xlsx,01JMGB6ZMZ6C5OTQB77NG3MPFQTQHYRHLD,3.0,2025-11-28 14:30:09
