_COLUMN_1,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
2021,553500,2536800,3463500,1733700,2099000,1359000,2537000,2230000,2919400,3478000,3656000,4712700
2022,2677500,2925400,3966500,4178000,4748500,7424500,2703500,5128500,4074000,3607500,3479000,5547250
2023,1539000,1574300,3722200,4632000,4214400,13154000,4209500,4028000,7019800,5593754,5844300,12103146
2024,2197150,5902850,5169000,4751500,7970300,13760400,3796500,3723900,6691850,4280900,3502800,3716500
2025,3369880,2678700,7048150,2396600,6195655,12244055,,,,,,
